Id,SalePrice
1461,129011.51
1462,144944.28
1463,187626.08
1464,201891.56
1465,186648.67
1466,174514.77
1467,166080.7
1468,167891.67
1469,185129.83
1470,125617.24
1471,172998.89
1472,101596.695
1473,93504.54
1474,152291.44
1475,95508.25
1476,366130.16
1477,241344.73
1478,278620.03
1479,285788.66
1480,566219.7
1481,354957.78
1482,201796.88
1483,150731.64
1484,158243.67
1485,177838.64
1486,189088.67
1487,361480.16
1488,228293.73
1489,208886.5
1490,235434.27
1491,199224.05
1492,95539.41
1493,185931.08
1494,272919.78
1495,259175.78
1496,243294.28
1497,168317.67
1498,168346.02
1499,155532.98
1500,160818.98
1501,183174.2
1502,147787.14
1503,250195.78
1504,245604.95
1505,242851.27
1506,182190.9
1507,232992.61
1508,168101.31
1509,170270.19
1510,168029.72
1511,144916.78
1512,167337.12
1513,145294.8
1514,177762.25
1515,176853.98
1516,147770.56
1517,165463.0
1518,129450.984
1519,219133.73
1520,132352.58
1521,134558.98
1522,163059.22
1523,103702.47
1524,125539.51
1525,121433.97
1526,119083.42
1527,121208.56
1528,142212.39
1529,143948.53
1530,172629.33
1531,101494.59
1532,106665.75
1533,162944.52
1534,115424.21
1535,159104.7
1536,116543.07
1537,81137.58
1538,152103.83
1539,166761.6
1540,109881.9
1541,139859.0
1542,134806.08
1543,177078.86
1544,90661.81
1545,109834.375
1546,125054.73
1547,121460.695
1548,125555.77
1549,114828.78
1550,131557.98
1551,123015.35
1552,127665.22
1553,171320.27
1554,118301.055
1555,173958.86
1556,107498.66
1557,130279.8
1558,103812.55
1559,92524.33
1560,130782.336
1561,120285.44
1562,131450.45
1563,125575.766
1564,160270.55
1565,142890.52
1566,221488.7
1567,91147.734
1568,267822.22
1569,102901.484
1570,115593.58
1571,108951.445
1572,137947.17
1573,220448.19
1574,130568.31
1575,265221.3
1576,262954.03
1577,174297.39
1578,148838.31
1579,146011.02
1580,198061.44
1581,166179.5
1582,128992.914
1583,349628.6
1584,221059.98
1585,140242.55
1586,61430.89
1587,92670.22
1588,144984.14
1589,97473.55
1590,133367.69
1591,80998.81
1592,146364.34
1593,136458.75
1594,150050.23
1595,138427.58
1596,232705.83
1597,215153.45
1598,169793.55
1599,151536.5
1600,157229.89
